DATE,OLS Fixed_ret_Long,OLS Fixed_ret_Short,OLS Fixed_ret_LS,Market
2005-01-31,-0.008961362764239311,-0.0638781264424324,0.05491676367819309,-0.02996211126446724
2005-02-28,0.018921300768852234,0.009644532576203346,0.009276768192648888,0.01594489086419344
2005-03-31,-0.020514309406280518,-0.05713033676147461,0.03661602735519409,-0.03388154432177544
2005-04-29,-0.06098151579499245,-0.06273089349269867,0.0017493776977062225,-0.04698895961046219
2005-05-31,0.03450518846511841,0.06472114473581314,-0.030215956270694733,0.04216742888092995
2005-06-30,0.044694699347019196,0.026322361081838608,0.018372338265180588,0.030574551597237588
2005-07-29,0.06155264377593994,0.062404051423072815,-0.0008514076471328735,0.05712334737181664
2005-08-31,-0.0037000873126089573,-0.016357362270355225,0.012657274957746267,-0.008581184083595872
2005-09-30,0.006693738978356123,0.017181504517793655,-0.010487765539437532,0.009753140667453409
2005-10-31,-0.026832694187760353,-0.03731483966112137,0.010482145473361015,-0.03486416097730398
2005-11-30,0.036077696830034256,0.04118384048342705,-0.005106143653392792,0.033107157237827776
2005-12-30,0.015451359562575817,0.006780500058084726,0.00867085950449109,0.012073722621425986
2006-01-31,0.07112263888120651,0.08990799635648727,-0.01878535747528076,0.07401293031871319
2006-02-28,0.013464782387018204,0.005534892436116934,0.00792988995090127,0.0036305638423073106
2006-03-31,0.03167054429650307,0.04713432490825653,-0.015463780611753464,0.0354974165558815
2006-04-28,0.022123077884316444,-0.0024439096450805664,0.02456698752939701,0.00830400879494846
2006-05-31,-0.03442833200097084,-0.06463830918073654,0.0302099771797657,-0.04483308643102646
2006-06-30,-0.013824814930558205,-0.009178904816508293,-0.0046459101140499115,-0.00941615249030292
2006-07-31,-0.025353476405143738,-0.044543031603097916,0.019189555197954178,-0.022858014889061452
2006-08-31,0.022209614515304565,0.018977047875523567,0.0032325666397809982,0.024420013092458247
2006-09-29,0.00492734694853425,-0.004441707860678434,0.009369054809212685,0.008052225969731808
2006-10-31,0.054989349097013474,0.040287114679813385,0.014702234417200089,0.04465756230056286
2006-11-30,0.032227978110313416,0.03672188147902489,-0.0044939033687114716,0.029068372771143915
2006-12-29,0.024232158437371254,-0.010960165411233902,0.035192323848605156,0.013544367952272296
2007-01-31,0.02519100531935692,0.024613099172711372,0.000577906146645546,0.02104858523234725
2007-02-28,0.004376892000436783,-0.005402513779699802,0.009779405780136585,0.0008011591649847105
2007-03-30,0.001849399646744132,0.00829029455780983,-0.006440894911065698,0.005853899056091905
